linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB17,C00691931,SB17.51412,ORG,Martin's,,,,,,710 E. Main St.,,Waynesboro,PA,17268,,2024-06-25,9.53,,X,,2024
SB17,C00691931,SB17.51470,ORG,Sheetz,,,,,,191 Eastern Blvd. N,,Hagerstown,MD,21740,,2024-06-22,9.15,,X,,2024
SB17,C00691931,SB17.51396,ORG,Home Depot,,,,,,17810 Garland Groh Blvd.,,Hagerstown,MD,21740,,2024-08-07,9.06,,X,,2024
SB17,C00691931,SB17.51352,ORG,BROTHERS PIZZA,,,,,,75 EASTERN BLVD NORTH,,HAGERSTOWN,MD,217405812,,2024-09-09,8.91,,X,,2024
SB17,C00691931,SB17.51332,ORG,Amazon,,,,,,1516 2nd Ave.,,Seattle,WA,98101,,2024-06-07,8.47,,X,,2024
SB17,C00691931,SB17.51430,ORG,Pizza Hut,,,,,,1396 Dual Highway,,Hagerstown,MD,21742,,2024-06-24,6.34,,X,,2024
SB17,C00691931,SB17.51411,ORG,Martin's,,,,,,710 E. Main St.,,Waynesboro,PA,17268,,2024-06-20,5.29,,X,,2024
SB17,C00691931,SB17.51469,ORG,Sheetz,,,,,,191 Eastern Blvd. N,,Hagerstown,MD,21740,,2024-09-13,5.09,,X,,2024
SB17,C00691931,SB17.51500,ORG,Walmart,,,,,,17850 Garland Groh Blvd,,Hagerstown,MD,21740,,2024-08-02,4.37,Parade Supplies,,,2024
SB17,C00691931,SB17.51507,ORG,WSJ,,,,,,4300 RTE 1 NORTH,,SOUTH BRUNSWICK,NJ,08852,,2024-06-17,4.24,,X,,2024
SB17,C00691931,SB17.51508,ORG,WSJ,,,,,,4300 RTE 1 NORTH,,SOUTH BRUNSWICK,NJ,08852,,2024-07-15,4.24,,X,,2024
SB17,C00691931,SB17.51509,ORG,WSJ,,,,,,4300 RTE 1 NORTH,,SOUTH BRUNSWICK,NJ,08852,,2024-08-12,4.24,,X,,2024
SB17,C00691931,SB17.51422,ORG,Pizza Hut,,,,,,1396 Dual Highway,,Hagerstown,MD,21742,,2024-06-25,3.17,,X,,2024
