"linenumber","fec_committee_id","tran_id","flag_orgind","recipient","last_name","first_name","middle_name","prefix","suffix","address_one","address_two","city","state","zip","date","amount","aggregate_amount","purpose","memo_code","memo_text","cycle"
"SB17","C00869016","HFM1515","ORG","ROCKY GAP CASINO",,,,,,"16701 Lakeview Rd",,"Flintstone","MD","21530","2024-09-25","226.86",,"TRAVEL ROOM EXPENSE",,,"2024"
"SB17","C00869016","HFM1516","ORG","ROCKY GAP CASINO",,,,,,"16701 Lakeview Rd",,"Flintstone","MD","21530","2024-09-25","226.86",,"TRAVEL ROOM EXPENSE",,,"2024"
"SB17","C00869016","HFM1517","ORG","ROCKY GAP CASINO",,,,,,"16701 Lakeview Rd",,"Flintstone","MD","21530","2024-09-30","226.86",,"TRAVEL ROOM EXPENSE",,,"2024"
"SB17","C00869016","HFM1518","ORG","ROCKY GAP CASINO",,,,,,"16701 Lakeview Rd",,"Flintstone","MD","21530","2024-09-30","283.86",,"TRAVEL ROOM EXPENSE",,,"2024"
"SB17","C00869016","HFM1520","ORG","ROUGE FINE CATERING",,,,,,"11110 Pepper Rd","STE f","Hunt Valley","MD","21031","2024-09-10","300.89",,"CATERING EXPENSE",,,"2024"
"SB17","C00869016","HFM1521","ORG","ROYAL FARMS",,,,,,"700 ANNAPOLIS RD",,"GAMBRILLS","MD","21054","2024-09-26","60.67",,"MEALS",,,"2024"
"SB17","C00869016","HFM1522","ORG","SAFEWAY",,,,,,"5918 Stoneridge Mall",,"Pleasanton","CA","94588","2024-07-03","42.58",,"TRAVEL FUEL",,,"2024"
"SB17","C00869016","HFM1523","ORG","SAM'S CLUB",,,,,,"2101 SE Simple Savings Dr",,"Bentonville","AR","72712","2024-07-05","607.51",,"EVENT SUPPLIES",,,"2024"
"SB17","C00869016","HFM1524","ORG","SAM'S CLUB",,,,,,"2101 SE Simple Savings Dr",,"Bentonville","AR","72712","2024-09-23","305.55",,"EVENT SUPPLIES",,,"2024"
"SB17","C00869016","HFM1525","ORG","SCAMPO",,,,,,"215 Charles St",,"Boston","MA","02114","2024-09-19","435.94",,"MEALS",,,"2024"
"SB17","C00869016","HFM1526","ORG","SHELL",,,,,,"910 Louisiana St",,"Houston","TX","77002","2024-08-07","30.19",,"TRAVEL FUEL",,,"2024"
"SB17","C00869016","HFM1527","ORG","SILVER DINER",,,,,,"7050 Friendship Rd",,"Baltimore","MD","21240","2024-08-22","71.29",,"MEALS",,,"2024"
"SB17","C00869016","HFM1528","ORG","SOBRO",,,,,,"206 3rd Ave",,"Nashville","TN","37201","2024-09-12","22.33",,"MEALS",,,"2024"
"SB17","C00869016","HFM1529","ORG","SOCKO STRATEGIES",,,,,,"1101 30th St","STE 125","Washington","DC","20007","2024-07-29","1980",,"FUNDRAISING SERVICES",,,"2024"
"SB17","C00869016","HFM1530","ORG","SOCKO STRATEGIES",,,,,,"1101 30th St","STE 125","Washington","DC","20007","2024-08-14","660",,"FUNDRAISING SERVICES",,,"2024"
