"linenumber","fec_committee_id","tran_id","flag_orgind","recipient","last_name","first_name","middle_name","prefix","suffix","address_one","address_two","city","state","zip","date","amount","aggregate_amount","purpose","memo_code","memo_text","cycle"
"SB17","C00869016","HFM1404","ORG","MARRIOTT",,,,,,"7750 Wisconsin Ave",,"Bethesda","MD","20814","2024-09-19","53.86",,"LODGING",,,"2024"
"SB17","C00869016","HFM1405","ORG","MARYLAND FARM BUREAU",,,,,,"3358 Davidsonville Rd",,"Davidsonville","MD","21035","2024-09-09","60",,"MEALS",,,"2024"
"SB17","C00869016","HFM1406","ORG","MARYLAND STATE FAIR",,,,,,"2200 YORK RD",,"TIMONIUM","MD","21093","2024-07-16","550",,"EVENT COSTS",,,"2024"
"SB17","C00869016","HFM1407","ORG","MCDONALDS",,,,,,"110 N Carpenter St",,"Chicago","IL","60607","2024-07-29","11.74",,"MEALS",,,"2024"
"SB17","C00869016","HFM1408","ORG","MDM DELI",,,,,,"Turnpike I-95",,"Aberdeen","MD","21001","2024-07-08","15.85",,"MEALS",,,"2024"
"SB17","C00869016","HFM1410","ORG","MINUTE SUITES",,,,,,"9700 Spine Rd",,"Atlanta","GA","30320","2024-09-13","9.52",,"EVENT SUPPLIES",,,"2024"
"SB17","C00869016","HFM1411","ORG","MINUTE SUITES",,,,,,"9700 Spine Rd",,"Atlanta","GA","30320","2024-09-13","3.17",,"EVENT SUPPLIES",,,"2024"
"SB17","C00869016","HFM1412","ORG","MISS SHIRLEYS CAFE",,,,,,"750 E Pratt St",,"Baltimore","MD","21202","2024-09-25","86.46",,"MEALS",,,"2024"
"SB17","C00869016","HFM1413","ORG","MISSION BBQ",,,,,,"2101 Somerville Rd",,"Annapolis","MD","21401","2024-07-01","252.47",,"MEALS",,,"2024"
"SB17","C00869016","HFM1414","ORG","MKE BAY VIEW",,,,,,,,,,,"2024-08-26","19.73",,"MEALS",,,"2024"
"SB17","C00869016","HFM1415","ORG","MT NARCAVAGE",,,,,,,,,,,"2024-08-19","5",,"CONTRIBUTION REFUND",,,"2024"
"SB17","C00869016","HFM1416","ORG","NATIONAL TRUST MEDIA",,,,,,"857 NATHAN HALE DR",,"BERWYN","PA","19312","2024-09-05","25200",,"PRINT EXPENSE",,,"2024"
"SB17","C00869016","HFM1417","ORG","NATIONAL TRUST MEDIA",,,,,,"857 NATHAN HALE DR",,"BERWYN","PA","19312","2024-09-12","25200",,"PRINT EXPENSE",,,"2024"
"SB17","C00869016","HFM1418","ORG","NATIONAL TRUST MEDIA",,,,,,"857 NATHAN HALE DR",,"BERWYN","PA","19312","2024-09-16","25200",,"PRINT EXPENSE",,,"2024"
"SB17","C00869016","HFM1419","ORG","NATIONAL TRUST MEDIA",,,,,,"857 NATHAN HALE DR",,"BERWYN","PA","19312","2024-09-27","25200",,"POSTAGE",,,"2024"
"SB17","C00869016","HFM1420","ORG","NAVAL BAGELS",,,,,,"3139 Solomons Island Rd",,"Edgewater","MD","21037","2024-08-05","47.87",,"MEALS",,,"2024"
"SB17","C00869016","HFM1421","ORG","NEIGHBORHOOD SIGNS AND STICKERS",,,,,,"6655 AMERTON DRIVESUITE L",,"ELKRIDGE","MD","21075","2024-07-03","21707.3",,"PRINT EXPENSE",,,"2024"
"SB17","C00869016","HFM1422","ORG","NEIGHBORHOOD SIGNS AND STICKERS",,,,,,"6655 AMERTON DRIVESUITE L",,"ELKRIDGE","MD","21075","2024-07-12","1471.96",,"PRINT EXPENSE",,,"2024"
"SB17","C00869016","HFM1423","ORG","NEIGHBORHOOD SIGNS AND STICKERS",,,,,,"6655 AMERTON DRIVESUITE L",,"ELKRIDGE","MD","21075","2024-09-10","3720.6",,"PRINT EXPENSE",,,"2024"
"SB17","C00869016","HFM1424","ORG","NEIGHBORHOOD SIGNS AND STICKERS",,,,,,"6655 AMERTON DRIVESUITE L",,"ELKRIDGE","MD","21075","2024-09-12","3720.6",,"PRINT EXPENSE",,,"2024"
"SB17","C00869016","HFM1425","ORG","NEIGHBORHOOD SIGNS AND STICKERS",,,,,,"6655 AMERTON DRIVESUITE L",,"ELKRIDGE","MD","21075","2024-09-19","9649",,"PRINT EXPENSE",,,"2024"
"SB17","C00869016","HFM1426","ORG","NEO PIZZA",,,,,,"220 Harker Pl",,"Annapolis","MD","21401","2024-08-16","69.89",,"MEALS",,,"2024"
"SB17","C00869016","HFM1427","ORG","NEWSLINK",,,,,,"1 Terminal Dr",,"Nashville","TN","37114","2024-09-16","17.47",,"SUBSCRIPTION SERVICES",,,"2024"
"SB17","C00869016","HFM1430","ORG","Numinar Inc",,,,,,"1201 Wilson Blvd",,"Arlington","VA","22209","2024-07-29","20",,"DATABASE SERVICES",,,"2024"
"SB17","C00869016","HFM1431","ORG","Numinar Inc",,,,,,"1201 Wilson Blvd",,"Arlington","VA","22209","2024-08-12","414.95",,"DATABASE SERVICES",,,"2024"
"SB17","C00869016","HFM1432","ORG","Numinar Inc",,,,,,"1201 Wilson Blvd",,"Arlington","VA","22209","2024-08-27","35.59",,"DATABASE SERVICES",,,"2024"
"SB17","C00869016","HFM1433","ORG","Numinar Inc",,,,,,"1201 Wilson Blvd",,"Arlington","VA","22209","2024-09-27","35",,"DATABASE SERVICES",,,"2024"
"SB17","C00869016","HFM1434","ORG","OCEAN ODYSSEY",,,,,,"316 Sunburst Hwy",,"Cambridge","MD","21613","2024-09-24","194.86",,"MEALS",,,"2024"
"SB17","C00869016","HFM1435","ORG","OFFICE OF BRUCE BEREANO",,,,,,"191 DUKE OF GLOUCESTER ST",,"ANNAPOLIS","MD","21401","2024-08-28","3750",,"CRAB EVENT TICKETS",,,"2024"
"SB17","C00869016","HFM1436","ORG","ONSITE NEWS",,,,,,"7050 Friendship Rd",,"Baltimore","MD","21240","2024-08-22","3.7",,"SUBSCRIPTION SERVICES",,,"2024"
"SB17","C00869016","HFM1437","ORG","OSSOLA CONSULTING",,,,,,"222 PRINCE GEORGE STREETSTE 101",,"ANNAPOLIS","MD","21401","2024-07-11","2500",,"FUNDRAISING SERVICES",,,"2024"
"SB17","C00869016","HFM1438","ORG","OSSOLA CONSULTING",,,,,,"222 PRINCE GEORGE STREETSTE 101",,"ANNAPOLIS","MD","21401","2024-07-17","22468.09",,"FUNDRAISING SERVICES",,,"2024"
"SB17","C00869016","HFM1439","ORG","OSSOLA CONSULTING",,,,,,"222 PRINCE GEORGE STREETSTE 101",,"ANNAPOLIS","MD","21401","2024-07-31","2500",,"FUNDRAISING SERVICES",,,"2024"
"SB17","C00869016","HFM1440","ORG","OSSOLA CONSULTING",,,,,,"222 PRINCE GEORGE STREETSTE 101",,"ANNAPOLIS","MD","21401","2024-08-08","2500",,"FUNDRAISING SERVICES",,,"2024"
"SB17","C00869016","HFM1441","ORG","OSSOLA CONSULTING",,,,,,"222 PRINCE GEORGE STREETSTE 101",,"ANNAPOLIS","MD","21401","2024-08-08","9637.66",,"FUNDRAISING SERVICES",,,"2024"
"SB17","C00869016","HFM1442","ORG","PARK AVENUE TAVERN",,,,,,"99 Park Ave",,"New York","NY","10016","2024-09-23","106.72",,"MEALS",,,"2024"
"SB17","C00869016","HFM1443","ORG","PARK X",,,,,,,,,,,"2024-09-30","5",,"PARKING",,,"2024"
"SB17","C00869016","HFM1444","ORG","PARK X",,,,,,,,,,,"2024-09-30","5",,"PARKING",,,"2024"
"SB17","C00869016","HFM1445","ORG","PARTY CITY",,,,,,"2325 H Forest Dr",,"Annapolis","MD","21401","2024-07-05","26.55",,"EVENT SUPPLIES",,,"2024"
"SB17","C00869016","HFM1446","ORG","PAYPAL",,,,,,"2211 N 1st St",,"San Jose","CA","95131","2024-09-19","350",,,,,"2024"
"SB17","C00869016","HFM1447","ORG","PEG LEG PORKER",,,,,,"903 Gleaves St",,"Nashville","TN","37203","2024-09-13","87.64",,"MEALS",,,"2024"
"SB17","C00869016","HFM1448","ORG","PENN STATION",,,,,,,,,,,"2024-09-23","21",,"MEALS",,,"2024"
